12 51.2 -17.6
12 52 -17.6
11.2 52.8 -17.6
11.2 53.6 -16.8
11.2 54.4 -16.8
12 55.2 -16.8
11.2 56 -17.6
10.4 55.2 -17.6
10.4 54.4 -18.4
8.79998 54.4 -19.2
9.59997 52 -20
9.59997 51.2 -20.8
11.2 52.8 -19.2
10.4 53.6 -18.4
10.4 52 -18.4
10.4 51.2 -19.2
10.4 50.4 -19.2
10.4 49.6 -19.2
11.2 49.6 -19.2
10.4 48.8 -19.2
10.4 48 -19.2
9.59998 47.2 -19.2
9.59997 48 -20
9.59998 48.8 -20
10.4 47.2 -18.4
11.2 46.4 -18.4
11.2 45.6 -18.4
11.2 44.8 -18.4
11.2 44 -18.4
11.2 43.2 -18.4
11.2 42.4 -18.4
11.2 41.6 -17.6
12 40.8 -17.6
12 40 -17.6
28.8 40 -35.2
28.8 39.2 -35.2
28.8 38.4 -34.4
28 37.6 -34.4
28 36.8 -35.2
28 36 -34.4
28 35.2 -35.2
28 34.4 -35.2
28.8 33.6 -34.4
28.8 32 -35.2
28.8 31.2 -34.4
29.6 30.4 -34.4
28 38.4 -36
28 39.2 -36.8
28 40 -38.4
27.2 38.4 -37.6
26.4 39.2 -36.8
26.4 38.4 -36
26.4 37.6 -36
26.4 36.8 -36
26.4 36 -35.2
27.2 37.6 -38.4
27.2 36.8 -39.2
27.2 36 -38.4
28 36 -39.2
28 35.2 -39.2
27.2 34.4 -40
26.4 35.2 -40
27.2 36 -40
27.2 36.8 -40.8
26.4 35.2 -38.4
27.2 34.4 -38.4
26.4 33.6 -39.2
25.6 32.8 -38.4
24.8 33.6 -37.6
25.6 34.4 -37.6
24.8 32 -37.6
24 31.2 -37.6
24 30.4 -38.4
23.2 31.2 -39.2
23.2 32 -38.4
24 32.8 -39.2
24 33.6 -40.8
24.8 34.4 -40
24.8 33.6 -39.2
25.6 34.4 -39.2
24.8 30.4 -37.6
24 29.6 -36.8
22.4 29.6 -36.8
22.4 28.8 -36.8
22.4 28 -36
21.6 27.2 -36.8
21.6 26.4 -36
22.4 25.6 -36.8
23.2 27.2 -35.2
24 26.4 -35.2
23.2 25.6 -35.2
22.4 24.8 -35.2
20.8 24 -36
21.6 23.2 -36
21.6 22.4 -36.8
20.8 20.8 -38.4
20 20.8 -40
21.6 21.6 -36
21.6 20.8 -36
18.4 17.6 -29.6
22.4 23.2 -34.4
22.4 22.4 -35.2
24 28.8 -36
24 28 -36
25.6 31.2 -37.6
26.4 33.6 -37.6
27.2 32.8 -37.6
26.4 32 -37.6
28.8 31.2 -37.6
28.8 30.4 -37.6
28.8 29.6 -37.6
28.8 32 -38.4
28.8 32.8 -38.4
28.8 33.6 -39.2
28.8 32.8 -40
29.6 32 -40
29.6 31.2 -40.8
30.4 31.2 -42.4
29.6 32 -42.4
30.4 32.8 -43.2
30.4 33.6 -42.4
30.4 30.4 -42.4
29.6 29.6 -42.4
29.6 28.8 -42.4
29.6 28.8 -44
28.8 28.8 -44
28 28 -44
27.2 27.2 -44
27.2 26.4 -44.8
26.4 25.6 -44.8
26.4 24.8 -44.8
28.8 28.8 -44.8
28.8 28 -45.6
28 27.2 -46.4
28 26.4 -46.4
27.2 25.6 -46.4
27.2 24 -46.4
26.4 24 -46.4
27.2 24.8 -45.6
28.8 29.6 -43.2
29.6 29.6 -44
29.6 30.4 -43.2
30.4 30.4 -44
29.6 28 -44
29.6 28 -42.4
29.6 27.2 -44
29.6 25.6 -43.2
28.8 24.8 -43.2
28 24 -43.2
27.2 24.8 -43.2
27.2 23.2 -43.2
28.8 24.8 -44.8
28.8 25.6 -45.6
29.6 26.4 -44.8
29.6 27.2 -45.6
29.6 27.2 -41.6
29.6 26.4 -41.6
29.6 25.6 -40.8
29.6 24.8 -41.6
29.6 24 -42.4
29.6 23.2 -42.4
29.6 22.4 -42.4
30.4 21.6 -43.2
29.6 22.4 -44
30.4 23.2 -44.8
28.8 23.2 -44
32 20.8 -43.2
32.8 20 -43.2
32.8 19.2 -44
32.8 18.4 -44
32 17.6 -44
32 16.8 -43.2
31.2 16 -41.6
32 14.4 -42.4
36.8 8.8 -42.4
40 6.40001 -40
35.2 18.4 -44
32 20 -44.8
32 19.2 -45.6
32.8 18.4 -45.6
33.6 19.2 -46.4
34.4 18.4 -45.6
31.2 18.4 -44.8
30.4 19.2 -44.8
31.2 17.6 -45.6
31.2 18.4 -46.4
30.4 17.6 -46.4
29.6 16.8 -46.4
30.4 16.8 -45.6
31.2 16.8 -44.8
29.6 16 -45.6
28.8 15.2 -46.4
29.6 15.2 -44.8
29.6 14.4 -44
29.6 13.6 -44
50.4 -13.6 -30.4
51.2 -12.8 -29.6
52 -12 -29.6
49.6 -15.2 -30.4
49.6 -16 -30.4
48.8 -16.8 -30.4
48.8 -17.6 -29.6
49.6 -18.4 -30.4
49.6 -19.2 -29.6
49.6 -20 -30.4
49.6 -20.8 -30.4
52.8 -17.6 -27.2
53.6 -19.2 -27.2
54.4 -18.4 -27.2
52.8 -16.8 -26.4
30.4 16 -44
29.6 15.2 -43.2
28.8 14.4 -42.4
31.2 20.8 -45.6
31.2 20 -46.4
30.4 20.8 -47.2
29.6 20 -47.2
28.8 20.8 -47.2
28 21.6 -47.2
28.8 22.4 -48
30.4 19.2 -47.2
30.4 18.4 -48
29.6 19.2 -48.8
29.6 21.6 -46.4
28.8 22.4 -46.4
28.8 23.2 -45.6
28.8 24 -45.6
29.6 24 -44
30.4 24.8 -44
29.6 30.4 -40
29.6 29.6 -40
29.6 28.8 -40.8
29.6 28 -40.8
29.6 28.8 -39.2
37.6 28 -39.2
37.6 27.2 -40
37.6 28 -40.8
37.6 28.8 -40
38.4 27.2 -41.6
39.2 27.2 -40.8
37.6 25.6 -40.8
37.6 24.8 -40.8
39.2 22.4 -42.4
40.8 21.6 -43.2
37.6 23.2 -40.8
36.8 26.4 -40
36.8 25.6 -40
36.8 24 -40
29.6 27.2 -39.2
29.6 26.4 -39.2
29.6 25.6 -38.4
29.6 24.8 -39.2
29.6 24 -40
29.6 23.2 -40
30.4 22.4 -40
31.2 21.6 -40.8
32 20.8 -40.8
32.8 20 -40.8
32 18.4 -41.6
31.2 21.6 -39.2
29.6 24 -38.4
29.6 23.2 -38.4
29.6 22.4 -38.4
29.6 24.8 -37.6
29.6 28 -38.4
29.6 27.2 -37.6
29.6 26.4 -37.6
29.6 25.6 -36.8
30.4 32 -40.8
28.8 34.4 -40
29.6 33.6 -40.8
29.6 32.8 -41.6
28.8 34.4 -41.6
28.8 35.2 -40.8
27.2 37.6 -36.8
27.2 36.8 -36.8
27.2 36 -36.8
26.4 35.2 -36.8
28 35.2 -36.8
28 34.4 -36.8
28 33.6 -36.8
28 32.8 -36.8
28 32 -36.8
27.2 31.2 -36.8
26.4 30.4 -36.8
26.4 29.6 -36.8
25.6 28.8 -36
26.4 28 -36
25.6 27.2 -35.2
25.6 26.4 -35.2
28 31.2 -36
28.8 30.4 -36
28.8 29.6 -36
36.8 36 -36
37.6 35.2 -36
11.2 38.4 -17.6
12 37.6 -17.6
12 36.8 -17.6
12 36 -17.6
11.2 48 -17.6
12 46.4 -16.8
12.8 46.4 -17.6
12.8 45.6 -17.6
12 45.6 -16.8
12 44.8 -16.8
12.8 44 -16.8
12 43.2 -16.8
12 42.4 -16.8
12 41.6 -16
12.8 40.8 -16
12.8 40 -16
12 39.2 -16
12 38.4 -16
12 37.6 -16
11.2 36.8 -16
12 36 -16
12 35.2 -16
12.8 34.4 -16
13.6 33.6 -16
25.6 24 30.4
24.8 24 31.2
24.8 24.8 31.2
10.4 56.8 -17.6
10.4 57.6 -17.6
10.4 58.4 -16.8
9.59997 59.2 -17.6
9.59997 58.4 -18.4
9.59997 57.6 -18.4
9.59997 56.8 -19.2
9.59997 56 -19.2
10.4 55.2 -19.2
10.4 54.4 -19.2
